profile_id,mechanism,first_best_welfare,reported_first_best_welfare,welfare,regret,rounding_regret,budget_imbalance
38,lp_integrated_supply_demand,15.0,15.0,14.259896883737238,0.7401031162627625,0.0,0.0
39,equal_split_first_best,15.0,15.0,15.0,0.0,0.0,0.0
39,equal_split_vickrey_majority,15.0,15.0,0.0,15.0,0.0,0.0
39,equal_split_vickrey_faltings_fair,15.0,15.0,0.0,15.0,0.0,0.0
39,lp_demand_vickrey_coarse,15.0,15.0,7.499997,7.500003,0.0,0.0
39,lp_demand_vickrey_fine,15.0,15.0,7.500003,7.499997,0.0,8.881784197001252e-16
39,lp_integrated_supply_demand,15.0,15.0,13.19782332614172,1.8021766738582805,0.0,0.0
40,equal_split_first_best,30.0,30.0,30.0,0.0,0.0,0.0
40,equal_split_vickrey_majority,30.0,30.0,30.0,0.0,0.0,0.0
40,equal_split_vickrey_faltings_fair,30.0,30.0,30.0,0.0,0.0,0.0
40,lp_demand_vickrey_coarse,30.0,30.0,30.0,0.0,0.0,0.0
40,lp_demand_vickrey_fine,30.0,30.0,30.0,0.0,0.0,0.0
40,lp_integrated_supply_demand,30.0,30.0,30.0,0.0,0.0,1.6155871338926322e-26
41,equal_split_first_best,30.0,30.0,30.0,0.0,0.0,0.0
41,equal_split_vickrey_majority,30.0,30.0,0.0,30.0,0.0,0.0
41,equal_split_vickrey_faltings_fair,30.0,30.0,20.0,10.0,0.0,-2.220446049250313e-16
41,lp_demand_vickrey_coarse,30.0,30.0,29.9999985,1.4999999997655777e-06,0.0,0.0
41,lp_demand_vickrey_fine,30.0,30.0,30.0,0.0,0.0,-1.7763568394002505e-15
41,lp_integrated_supply_demand,30.0,30.0,28.496637214003446,1.5033627859965542,0.0,1.3322676295501878e-15
42,equal_split_first_best,30.0,30.0,30.0,0.0,0.0,0.0
42,equal_split_vickrey_majority,30.0,30.0,0.0,30.0,0.0,0.0
42,equal_split_vickrey_faltings_fair,30.0,30.0,20.0,10.0,0.0,-4.440892098500626e-16
42,lp_demand_vickrey_coarse,30.0,30.0,29.99989792592734,0.00010207407266094037,0.0,1.7763568394002505e-15
42,lp_demand_vickrey_fine,30.0,30.0,30.0,0.0,0.0,0.0
42,lp_integrated_supply_demand,30.0,30.0,27.92797838185477,2.0720216181452287,0.0,0.0
43,equal_split_first_best,30.0,30.0,30.0,0.0,0.0,0.0
43,equal_split_vickrey_majority,30.0,30.0,0.0,30.0,0.0,0.0
43,equal_split_vickrey_faltings_fair,30.0,30.0,20.0,10.0,0.0,-4.440892098500626e-16
43,lp_demand_vickrey_coarse,30.0,30.0,29.99989792592734,0.00010207407266094037,0.0,1.7763568394002505e-15
43,lp_demand_vickrey_fine,30.0,30.0,30.0,0.0,0.0,0.0
43,lp_integrated_supply_demand,30.0,30.0,27.649860305038704,2.350139694961296,0.0,4.440892098500626e-15
44,equal_split_first_best,45.0,45.0,45.0,0.0,0.0,0.0
44,equal_split_vickrey_majority,45.0,45.0,45.0,0.0,0.0,0.0
44,equal_split_vickrey_faltings_fair,45.0,45.0,45.0,0.0,0.0,0.0
44,lp_demand_vickrey_coarse,45.0,45.0,45.0,0.0,0.0,0.0
44,lp_demand_vickrey_fine,45.0,45.0,45.0,0.0,0.0,0.0
44,lp_integrated_supply_demand,45.0,45.0,44.99999999999999,7.105427357601002e-15,0.0,0.0
45,equal_split_first_best,45.0,45.0,45.0,0.0,0.0,0.0
45,equal_split_vickrey_majority,45.0,45.0,0.0,45.0,0.0,0.0
45,equal_split_vickrey_faltings_fair,45.0,45.0,30.0,15.0,0.0,-2.220446049250313e-16
45,lp_demand_vickrey_coarse,45.0,45.0,44.9999985,1.5000000033182914e-06,0.0,8.881784197001252e-16
45,lp_demand_vickrey_fine,45.0,45.0,45.0,0.0,0.0,0.0
45,lp_integrated_supply_demand,45.0,45.0,43.780786061996636,1.2192139380033638,0.0,0.0
46,equal_split_first_best,45.0,45.0,45.0,0.0,0.0,0.0
46,equal_split_vickrey_majority,45.0,45.0,0.0,45.0,0.0,0.0
46,equal_split_vickrey_faltings_fair,45.0,45.0,30.0,15.0,0.0,-4.440892098500626e-16
46,lp_demand_vickrey_coarse,45.0,45.0,45.0,0.0,0.0,0.0
46,lp_demand_vickrey_fine,45.0,45.0,45.0,0.0,0.0,0.0
46,lp_integrated_supply_demand,45.0,45.0,44.26466382721082,0.7353361727891823,0.0,0.0
47,equal_split_first_best,45.0,45.0,45.0,0.0,0.0,0.0
47,equal_split_vickrey_majority,45.0,45.0,0.0,45.0,0.0,0.0
47,equal_split_vickrey_faltings_fair,45.0,45.0,30.0,15.0,0.0,-4.440892098500626e-16
47,lp_demand_vickrey_coarse,45.0,45.0,45.0,0.0,0.0,0.0
47,lp_demand_vickrey_fine,45.0,45.0,45.0,0.0,0.0,0.0
47,lp_integrated_supply_demand,45.0,45.0,43.37534923740218,1.6246507625978168,0.0,0.0
48,equal_split_first_best,0.0,0.0,0.0,0.0,0.0,0.0
48,equal_split_vickrey_majority,0.0,0.0,0.0,0.0,0.0,0.0
48,equal_split_vickrey_faltings_fair,0.0,0.0,0.0,0.0,0.0,0.0
48,lp_demand_vickrey_coarse,0.0,0.0,0.0,0.0,0.0,0.0
48,lp_demand_vickrey_fine,0.0,0.0,0.0,0.0,0.0,0.0
48,lp_integrated_supply_demand,0.0,0.0,0.0,0.0,0.0,0.0
49,equal_split_first_best,0.0,0.0,0.0,0.0,0.0,0.0
49,equal_split_vickrey_majority,0.0,0.0,0.0,0.0,0.0,0.0
49,equal_split_vickrey_faltings_fair,0.0,0.0,0.0,0.0,0.0,0.0
49,lp_demand_vickrey_coarse,0.0,0.0,0.0,0.0,0.0,0.0
49,lp_demand_vickrey_fine,0.0,0.0,0.0,0.0,0.0,0.0
49,lp_integrated_supply_demand,0.0,0.0,-0.531311586587062,0.531311586587062,0.0,0.0
50,equal_split_first_best,0.0,0.0,0.0,0.0,0.0,0.0
50,equal_split_vickrey_majority,0.0,0.0,0.0,0.0,0.0,0.0
50,equal_split_vickrey_faltings_fair,0.0,0.0,0.0,0.0,0.0,0.0
50,lp_demand_vickrey_coarse,0.0,0.0,0.0,0.0,0.0,0.0
50,lp_demand_vickrey_fine,0.0,0.0,0.0,0.0,0.0,0.0
50,lp_integrated_supply_demand,0.0,0.0,-0.3711560606816846,0.3711560606816846,0.0,0.0
51,equal_split_first_best,0.0,0.0,0.0,0.0,0.0,0.0
51,equal_split_vickrey_majority,0.0,0.0,0.0,0.0,0.0,0.0
51,equal_split_vickrey_faltings_fair,0.0,0.0,0.0,0.0,0.0,0.0
51,lp_demand_vickrey_coarse,0.0,0.0,0.0,0.0,0.0,0.0
51,lp_demand_vickrey_fine,0.0,0.0,0.0,0.0,0.0,0.0
51,lp_integrated_supply_demand,0.0,0.0,0.0,0.0,0.0,0.0
52,equal_split_first_best,15.0,15.0,15.0,0.0,0.0,0.0
52,equal_split_vickrey_majority,15.0,15.0,15.0,0.0,0.0,0.0
52,equal_split_vickrey_faltings_fair,15.0,15.0,15.0,0.0,0.0,0.0
52,lp_demand_vickrey_coarse,15.0,15.0,15.0,0.0,0.0,0.0
52,lp_demand_vickrey_fine,15.0,15.0,15.0,0.0,0.0,0.0
52,lp_integrated_supply_demand,15.0,15.0,13.662850086820775,1.3371499131792248,0.0,0.0
53,equal_split_first_best,15.0,15.0,15.0,0.0,0.0,0.0
53,equal_split_vickrey_majority,15.0,15.0,0.0,15.0,0.0,0.0
53,equal_split_vickrey_faltings_fair,15.0,15.0,10.0,5.0,0.0,-2.220446049250313e-16
53,lp_demand_vickrey_coarse,15.0,15.0,14.9999985,1.4999999997655777e-06,0.0,0.0
53,lp_demand_vickrey_fine,15.0,15.0,14.999750066666003,0.0002499333339969212,0.0,0.0
53,lp_integrated_supply_demand,15.0,15.0,12.64986030503873,2.3501396949612694,0.0,0.0
54,equal_split_first_best,15.0,15.0,15.0,0.0,0.0,0.0
54,equal_split_vickrey_majority,15.0,15.0,0.0,15.0,0.0,0.0
